x	kde	cdf
-2.74	0.009039834883241313	0.0026686770222736286
-2.73	0.009306759830063889	0.002760413679053504
-2.72	0.00959966381769175	0.0028549530482622964
-2.71	0.009924960239590587	0.0029525479070797527
-2.7	0.010225864127321543	0.0030533218481853066
-2.69	0.01052416769623818	0.0031570799901161927
-2.68	0.01083615349561071	0.0032638977500718024
-2.67	0.011128696971777832	0.003373765947721249
-2.66	0.011379746157097543	0.0034863089347629494
-2.65	0.011678369681522367	0.003601517106174772
-2.64	0.012036927721560915	0.003720017002810437
-2.63	0.012457281943720555	0.0038424400336188247
-2.62	0.012868362292897206	0.0039690815671060194
-2.61	0.013244632525272405	0.004099663623933696
-2.6	0.013611471409919989	0.0042339939482971545
-2.59	0.013991614174756795	0.004371949664805363
-2.58	0.014370931650671919	0.004513785920161099
